Time,mAU
16.26837333,-0.073671341
16.27322667,-0.074088573
16.27808,-0.074744225
16.28293333,-0.07557869
16.28778667,-0.076234341
16.29264,-0.076770782
16.29749333,-0.077009201
16.30234667,-0.077009201
16.3072,-0.076711178
16.31205333,-0.07635355
16.31690667,-0.076115131
16.32176,-0.075936317
16.32661333,-0.076115131
16.33146667,-0.076472759
16.33632,-0.076949596
16.34117333,-0.077366829
16.34602667,-0.077724457
16.35088,-0.077843666
16.35573333,-0.077545643
16.36058667,-0.076949596
16.36544,-0.076174736
16.37029333,-0.075399876
16.37514667,-0.074625015
16.38,-0.074088573
16.38485333,-0.07390976
16.38970667,-0.073969364
16.39456,-0.074207783
16.39941333,-0.074505806
16.40426667,-0.074744225
16.40912,-0.074803829
16.41397333,-0.07468462
16.41882667,-0.074326992
16.42368,-0.074088573
16.42853333,-0.073730946
16.43338667,-0.073552132
16.43824,-0.073313713
16.44309333,-0.073134899
16.44794667,-0.07301569
16.4528,-0.072717667
16.45765333,-0.072419643
16.46250667,-0.072240829
16.46736,-0.07212162
16.47221333,-0.072062016
16.47706667,-0.071942806
16.48192,-0.071823597
16.48677333,-0.071585178
16.49162667,-0.071048737
16.49648,-0.070393085
16.50133333,-0.069618225
16.50618667,-0.069022179
16.51104,-0.068724155
16.51589333,-0.068843365
16.52074667,-0.069260597
16.5256,-0.070035458
16.53045333,-0.070989132
16.53530667,-0.071763992
16.54016,-0.072479248
16.54501333,-0.07301569
16.54986667,-0.073552132
16.55472,-0.07379055
16.55957333,-0.074088573
16.56442667,-0.074386597
16.56928,-0.074386597
16.57413333,-0.074505806
16.57898667,-0.074386597
16.58384,-0.074386597
16.58869333,-0.074386597
16.59354667,-0.074505806
16.5984,-0.074565411
16.60325333,-0.074565411
16.60810667,-0.074207783
16.61296,-0.073671341
16.61781333,-0.073075294
16.62266667,-0.072598457
16.62752,-0.072479248
16.63237333,-0.072598457
16.63722667,-0.07301569
16.64208,-0.073313713
16.64693333,-0.073254108
16.65178667,-0.072956085
16.65664,-0.072300434
16.66149333,-0.071763992
16.66634667,-0.071227551
16.6712,-0.070929527
16.67605333,-0.070929527
16.68090667,-0.071048737
16.68576,-0.071108341
16.69061333,-0.071048737
16.69546667,-0.070750713
16.70032,-0.070273876
16.70517333,-0.069856644
16.71002667,-0.069499016
16.71488,-0.06967783
16.71973333,-0.070154667
16.72458667,-0.071108341
16.72944,-0.07212162
16.73429333,-0.072956085
16.73914667,-0.073611736
16.744,-0.073671341
16.74885333,-0.073254108
16.75370667,-0.072717667
16.75856,-0.071942806
16.76341333,-0.071465969
16.76826667,-0.071227551
16.77312,-0.071287155
16.77797333,-0.071525574
16.78282667,-0.071883202
16.78768,-0.07212162
16.79253333,-0.072360039
16.79738667,-0.072598457
16.80224,-0.072777271
16.80709333,-0.072956085
16.81194667,-0.07301569
16.8168,-0.07301569
16.82165333,-0.072836876
16.82650667,-0.072538853
16.83136,-0.072419643
16.83621333,-0.072360039
16.84106667,-0.072598457
16.84592,-0.072956085
16.85077333,-0.073432922
16.85562667,-0.07379055
16.86048,-0.074088573
16.86533333,-0.074207783
16.87018667,-0.074148178
16.87504,-0.074148178
16.87989333,-0.074326992
16.88474667,-0.074625015
16.8896,-0.074923038
16.89445333,-0.07545948
16.89930667,-0.075995922
16.90416,-0.076234341
16.90901333,-0.076651573
16.91386667,-0.076830387
16.91872,-0.077068806
16.92357333,-0.077188015
16.92842667,-0.07724762
16.93328,-0.077188015
